method,priv_mode,latent_dim,dr_scale,mean_reward,std_reward,mean_length,std_length,success_rate,episodes,checkpoint,timestamp
CTS,INT,16,1.0,1497.9390,447.2152,999.0,0.0,100.0,100,model_final.pt,2026-04-30 17:04:53
BASELINE,FULL,N/A,1.0,1985.9751,126.9008,999.0,0.0,100.0,100,model_final.pt,2026-04-30 17:05:22
CTS,INT,16,1.5,1460.4750,419.3791,999.0,0.0,100.0,100,model_final.pt,2026-04-30 17:05:29
BASELINE,FULL,N/A,1.5,1854.3937,278.7264,999.0,0.0,100.0,100,model_final.pt,2026-04-30 17:06:00
CTS,INT,16,2.0,1473.9958,424.3928,999.0,0.0,100.0,100,model_final.pt,2026-04-30 17:06:06
BASELINE,FULL,N/A,2.0,1819.0314,323.7196,999.0,0.0,100.0,100,model_final.pt,2026-04-30 17:06:38
CTS,EXT,16,1.0,1932.9147,147.0714,999.0,0.0,100.0,100,model_final.pt,2026-04-30 17:06:41
RMA2,INT,16,1.0,1931.8335,151.1782,999.0,0.0,100.0,100,model_final.pt,2026-04-30 17:07:18
CTS,EXT,16,1.5,1847.1845,287.8497,999.0,0.0,100.0,100,model_final.pt,2026-04-30 17:07:21
RMA2,FULL,16,1.0,1836.1707,289.3082,999.0,0.0,100.0,100,model_final.pt,2026-04-30 17:07:30
RMA2,INT,16,1.5,1842.4416,251.5019,999.0,0.0,100.0,100,model_final.pt,2026-04-30 17:08:06
CTS,EXT,16,2.0,1725.5756,368.8390,999.0,0.0,100.0,100,model_final.pt,2026-04-30 17:08:10
RMA2,FULL,16,1.5,1723.0506,306.6736,999.0,0.0,100.0,100,model_final.pt,2026-04-30 17:08:11
RMA2,INT,16,2.0,1744.6331,329.9706,999.0,0.0,100.0,100,model_final.pt,2026-04-30 17:08:57
RMA2,FULL,16,2.0,1681.7285,340.1336,999.0,0.0,100.0,100,model_final.pt,2026-04-30 17:09:01
CTS,FULL,16,1.0,1626.8408,271.4261,999.0,0.0,100.0,100,model_final.pt,2026-04-30 17:09:02
RMA2,EXT,16,1.0,1928.6171,120.4033,999.0,0.0,100.0,100,model_final.pt,2026-04-30 17:09:43
RMA2,FULL,32,1.0,1808.5282,259.5516,999.0,0.0,100.0,100,model_final.pt,2026-04-30 17:09:50
CTS,FULL,16,1.5,1551.2841,285.2222,999.0,0.0,100.0,100,model_final.pt,2026-04-30 17:09:52
RMA2,EXT,16,1.5,1835.9403,275.4017,999.0,0.0,100.0,100,model_final.pt,2026-04-30 17:10:04
RMA2,FULL,32,1.5,1763.2370,277.9026,999.0,0.0,100.0,100,model_final.pt,2026-04-30 17:10:37
CTS,FULL,16,2.0,1473.4480,315.3766,999.0,0.0,100.0,100,model_final.pt,2026-04-30 17:10:40
RMA2,EXT,16,2.0,1682.4171,358.5425,999.0,0.0,100.0,100,model_final.pt,2026-04-30 17:10:42
RMA2,FULL,32,2.0,1555.7874,366.2561,999.0,0.0,100.0,100,model_final.pt,2026-04-30 17:11:23
RMA2,FULL,8,1.0,1940.2891,137.2157,999.0,0.0,100.0,100,model_final.pt,2026-04-30 17:11:30
CTS,FULL,8,1.0,1903.3268,127.8877,999.0,0.0,100.0,100,model_final.pt,2026-04-30 17:11:31
RMA2,FULL,8,1.5,1846.8117,263.3008,999.0,0.0,100.0,100,model_final.pt,2026-04-30 17:12:09
CTS,FULL,8,1.5,1832.8999,231.5214,999.0,0.0,100.0,100,model_final.pt,2026-04-30 17:12:10
RMA2,FULL,8,2.0,1679.0628,390.4623,999.0,0.0,100.0,100,model_final.pt,2026-04-30 17:12:48
CTS,FULL,8,2.0,1648.0665,381.6619,999.0,0.0,100.0,100,model_final.pt,2026-04-30 17:12:50
CTS,FULL,32,1.0,1983.9273,156.4789,999.0,0.0,100.0,100,model_final.pt,2026-04-30 17:13:10
CTS,FULL,32,1.5,1891.5690,248.8077,999.0,0.0,100.0,100,model_final.pt,2026-04-30 17:13:31
CTS,FULL,32,2.0,1771.4542,390.0411,999.0,0.0,100.0,100,model_final.pt,2026-04-30 17:13:51
CTS,FULL,64,1.0,1570.4617,272.6338,999.0,0.0,100.0,100,model_final.pt,2026-04-30 17:14:11
CTS,FULL,64,1.5,1522.9492,338.6542,999.0,0.0,100.0,100,model_final.pt,2026-04-30 17:14:33
CTS,FULL,64,2.0,1520.2361,327.8045,999.0,0.0,100.0,100,model_final.pt,2026-04-30 17:14:54
CTS,FULL,128,1.0,1535.2246,357.5379,999.0,0.0,100.0,100,model_final.pt,2026-04-30 17:15:14
CTS,FULL,128,1.5,1474.8981,346.2469,999.0,0.0,100.0,100,model_final.pt,2026-04-30 17:15:35
CTS,FULL,128,2.0,1437.6244,355.4510,999.0,0.0,100.0,100,model_final.pt,2026-04-30 17:15:56
